uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"a5665041-8656-45da-bdd2-ed00af56bb42","SCBI_006.tickPlot.tck","D02","SCBI","SCBI_006","distributed","pastureHay",38.897079,-78.150277,"WGS84",20.1,277.5,0.1,,,"2019-05-06T18:53Z","SCBI.2019.19","SCBI_006.20190506","A00000035258","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-3192-2230",,
"233f1a79-0b11-4921-b210-63038ab2491f","SCBI_002.tickPlot.tck","D02","SCBI","SCBI_002","distributed","deciduousForest",38.893863,-78.142700,"WGS84",20.3,329.0,0.4,,,"2019-05-15T14:55Z","SCBI.2019.20","SCBI_002.20190515","A00000035275","drag",159,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0001-5349-9843",,
"b21de9de-7759-468b-9134-11ab6236eabe","SCBI_014.tickPlot.tck","D02","SCBI","SCBI_014","distributed","deciduousForest",38.865740,-78.163120,"WGS84",20.4,361.9,0.5,,,"2019-05-15T15:45Z","SCBI.2019.20","SCBI_014.20190515","A00000001363","drag",158,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-3192-2230",,
"09c486e6-c6d1-4e50-af65-64daa88caea3","SCBI_007.tickPlot.tck","D02","SCBI","SCBI_007","distributed","deciduousForest",38.886022,-78.129368,"WGS84",20.3,427.4,0.4,,,"2019-05-15T16:45Z","SCBI.2019.20","SCBI_007.20190515","A00000068374","drag",135,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0001-5349-9843",,
"17a62335-7b3c-4ce2-92d5-80ac66815fd9","SCBI_013.tickPlot.tck","D02","SCBI","SCBI_013","distributed","deciduousForest",38.873041,-78.163313,"WGS84",20.2,361.3,0.3,,,"2019-05-15T17:26Z","SCBI.2019.20","SCBI_013.20190515","A00000033738","drag",159,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-3192-2230",,
"538e64e6-7320-479d-aa31-2577dc0d2e21","SCBI_005.tickPlot.tck","D02","SCBI","SCBI_005","distributed","deciduousForest",38.901865,-78.161944,"WGS84",20.1,261.6,0.2,,,"2019-05-15T18:57Z","SCBI.2019.20","SCBI_005.20190515","A00000002358","drag",115,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-3475-1959","Cloth became slightly damp",
"abe7c7a4-ce33-4b02-a8de-8c6aaa3d5ea3","SCBI_006.tickPlot.tck","D02","SCBI","SCBI_006","distributed","pastureHay",38.897079,-78.150277,"WGS84",20.1,277.5,0.1,,,"2019-05-28T19:37Z","SCBI.2019.22",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-0927-4409",,
"3017a688-2355-4cc2-8db0-fc758514152f","SCBI_014.tickPlot.tck","D02","SCBI","SCBI_014","distributed","deciduousForest",38.865740,-78.163120,"WGS84",20.4,361.9,0.5,,,"2019-05-30T16:59Z","SCBI.2019.22","SCBI_014.20190530","A00000035460","drag",157,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-0927-4409",,
