uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"c2034781-e53e-4d13-bb4e-7a484d41b0f6","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,"OK","OK - no known exceptions","2023-06-06T14:15Z","HARV.2023.23","HARV_022.20230606","D00000054025","drag and flag",156,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0009-1224-8349",,
"b562b67f-b349-4d1c-892c-603f5a5109f2","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"OK","OK - no known exceptions","2023-06-06T14:38Z","HARV.2023.23","HARV_001.20230606","D00000083451","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-7026-1767",,
"95505c52-b8a3-4eed-9690-660c99c9aa9f","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,"location wet",,"2023-06-06T16:00Z","HARV.2023.23",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5964-2409",,
"fbb7e9f1-693e-4748-bc85-32a33c561659","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,"location wet",,"2023-06-06T16:00Z","HARV.2023.23",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5964-2409",,
"0c93569c-477c-4f48-b04f-36a33432f487","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,"OK","OK - no known exceptions","2023-06-06T17:18Z","HARV.2023.23","HARV_004.20230606","D00000077509","drag and flag",95,"Y",,,,"Distance estimated (described in remarks)","NEON.DOC.014045vL","0000-0003-1934-4447","Stopped early due to thunder. Estimated skipped part due to poison ivy and thunder",
"ddf74338-6f31-4600-b9a4-a1aa6f4865aa","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,"OK","OK - no known exceptions","2023-06-12T17:36Z","HARV.2023.23","HARV_022.20230612","D00000078949","drag and flag",170,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-2982-4579","Duplicated sampling event due to human error",
"7f447bdf-7bdc-47fd-9a45-b0e09634e333","HARV_002.tickPlot.tck","D01","HARV","HARV_002","distributed","deciduousForest",42.477231,-72.259454,"WGS84",20.2,187.7,0.3,"OK","OK - no known exceptions","2023-06-14T13:25Z","HARV.2023.23","HARV_002.20230614","D00000078933","drag and flag",166,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0009-9756-6660",,
"c6be0723-cd64-481b-b961-41b212a773d5","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"OK","OK - no known exceptions","2023-06-14T16:55Z","HARV.2023.23","HARV_001.20230614","D00000078937","drag and flag",166,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-2982-4579","Duplicated sampling event due to human error",
"1585cb41-f480-4699-b39e-a8bdd69266fe","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,"OK","OK - no known exceptions","2023-06-26T12:38Z","HARV.2023.26","HARV_022.20230626","D00000078769","drag and flag",155,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-5964-2409",,
"4666621e-d87a-4da6-aa5d-0f3af9dd868c","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,"OK","OK - no known exceptions","2023-06-26T14:38Z","HARV.2023.26","HARV_006.20230626","D00000078759","drag and flag",153,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-5964-2409",,
"439ce868-8a87-4e33-914c-8c5eb3e870ae","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"OK","OK - no known exceptions","2023-06-30T13:06Z","HARV.2023.26","HARV_001.20230630","D00000078781","drag and flag",156,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-7026-1767",,
"c50523a3-9aed-4a1e-a06f-c90cb9f3e218","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,"OK","OK - no known exceptions","2023-06-30T15:03Z","HARV.2023.26","HARV_004.20230630","D00000078817","drag and flag",85,"Y",,,,"Distance estimated (described in remarks)","NEON.DOC.014045vL","0009-0009-1224-8349","Sampling shortened due to muddy conditions and missing plot markers",
"ee14d3fd-9aff-40ee-8959-fd5ad04765fd","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,"OK","OK - no known exceptions","2023-06-30T16:18Z","HARV.2023.26","HARV_026.20230630","D00000078800","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-7026-1767",,
"2b26461d-9ab7-4b2d-87f6-337a910a95b3","HARV_002.tickPlot.tck","D01","HARV","HARV_002","distributed","deciduousForest",42.477231,-72.259454,"WGS84",20.2,187.7,0.3,"OK","OK - no known exceptions","2023-06-30T18:05Z","HARV.2023.26","HARV_002.20230630","D00000078774","drag and flag",159,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0009-1224-8349",,
